name,plot_id,tag_no,easting,northing,aspect,percent_slope,read_status,date_read,recorders,notes,dens_n,dens_e,dens_s,dens_w,id
plotoverview_table_big11nov,ATWE-RX-40,3734,349477,4036768,34,42,PRE-RX,2024-11-04T00:00:00Z,AE,"ACCIDENTAL MISNAME, IGNORE SHEET",69,72,83,88,33
plotoverview_table_big11nov,ATWE-THIN-01,0,0,0,189,21,PRE-RX,2024-11-05T00:00:00Z,NA,"IGNORE SHEET, PLOT ALREADY READ IN 2023",0,0,0,0,34
plotoverview_table_big11nov,ATWE-THIN-02,3741,349239,4037582,138,35,PRE-RX,2024-11-06T00:00:00Z,"KF,AE,TH,AW",NO FWD MEASUREMENTS TAKEN FOR WEST LINE BECAUSE IT IS ENTIRELY ON BEDROCK. UNABLE TO OBTAIN AN ARROW POINT,69,79,64,70,41
plotoverview_table_big11nov,ATWE-THIN-04,3776,347606,4036380,320,52,PRE-RX,2024-11-07T00:00:00Z,"KF, AE",NA,90,94,72,65,44
plotoverview_table_big11nov,ATWE-THIN-06,3770,348293,4037074,211,49,PRE-RX,2024-11-10T00:00:00Z,AE,LAST PLOT OF THE SEASON :),87,83,91,88,52
plotoverview_table_big11nov,ATWE-THIN-10,3735,349376,4037927,78,37,PRE-RX,2024-11-05T00:00:00Z,"KF, AE, TH, AW",AW = ADAM WATSON,86,91,80,85,37
plotoverview_table_big11nov,ATWE-THIN-11,3742,347944,4036746,214,19,PRE-RX,2024-11-07T00:00:00Z,TH,NA,96,89,96,93,42
plotoverview_table_big11nov,ATWE-THIN-13,3736,349322,4037237,122,42,PRE-RX,2024-11-06T00:00:00Z,TH,NA,79,88,86,79,39
plotoverview_table_big11nov,ATWE-THIN-15,3775,348481,4036531,225,34,PRE-RX,2024-11-08T00:00:00Z,AE,NA,38,19,7,22,45
plotoverview_table_big11nov,ATWE-THIN-18,3771,347851,4037190,213,68,PRE-RX,2024-11-10T00:00:00Z,AE,NA,80,63,58,83,51
plotoverview_table_big11nov,ATWE-THIN-19,3774,351225,4036528,250,7,PRE-RX,2024-11-09T00:00:00Z,AE,DREAMY PLOT,73,57,77,71,48
plotoverview_table_big11nov,ATWE-THIN-23,3715,347969,4036539,232,23,PRE-RX,2024-11-07T00:00:00Z,TH,NA,55,62,73,45,43
plotoverview_table_big11nov,ATWE-THIN-24,3746,349226,4036920,95,58,PRE-RX,2024-11-08T00:00:00Z,"KF, AE, TH",NA,16,27,38,31,47
plotoverview_table_big11nov,ATWE-THIN-25,0,349871,4037742,137,58,PRE-RX,2024-11-05T00:00:00Z,"KF, AE, TH, AW",AW = ADAM WATSON :),95,93,91,94,36
plotoverview_table_big11nov,ATWE-THIN-29,3713,349493,4037303,131,33,PRE-RX,2024-11-06T00:00:00Z,TH,NA,89,95,52,93,38
plotoverview_table_big11nov,ATWE-THIN-31,3772,347928,4036995,197,18,PRE-RX,2024-11-10T00:00:00Z,"KF, AE, TH",NA,94,92,86,79,50
plotoverview_table_big11nov,ATWE-THIN-36,3745,349101,4036688,132,34,PRE-RX,2024-11-08T00:00:00Z,AE,NA,71,75,81,78,46
plotoverview_table_big11nov,ATWE-THIN-37,3738,349063,4037135,120,50,PRE-RX,2024-11-06T00:00:00Z,AE,NA,86,63,62,80,40
plotoverview_table_big11nov,ATWE-THIN-39,3773,348031,4036990,219,31,PRE-RX,2024-11-10T00:00:00Z,KF,NA,52,63,68,50,49
plotoverview_table_big11nov,ATWE-THIN-40,3734,349477,4036768,34,42,PRE-RX,2024-11-04T00:00:00Z,AE,NA,69,72,83,88,53
plotoverview_table_big11nov,BIST-RX-01,938,324162,4065880,210,39,PRE-RX,2024-09-11T00:00:00Z,ALL+BB,"Burned piles on plot, likely done within the last 1.5 yr",86,92,82,89,1
plotoverview_table_big11nov,BIST-RX-02,4519,324141,4065629,137,42,PRE-RX,2024-09-12T00:00:00Z,ALL+BB,NA,92,94,89,82,18
plotoverview_table_big11nov,BIST-RX-03,684,324282,4065699,165,47,PRE-RX,2024-09-13T00:00:00Z,ALL,NA,93,92,86,96,24
plotoverview_table_big11nov,BIST-RX-04,656,324479,4065666,159,18,PRE-RX,2024-09-13T00:00:00Z,ALL,2 BURNED PILES,95,65,62,85,25
plotoverview_table_big11nov,BIST-RX-05,565,324713,4065708,249,34,PRE-RX,2024-09-14T00:00:00Z,ALL,BURNT PILES PRESENT. LOOKS LIKE ENTIRE PLOT BURNED RECENTLY,72,93,76,71,26
plotoverview_table_big11nov,BIST-RX-06,625,324077,4065500,79,12,PRE-RX,2024-09-12T00:00:00Z,ALL + BB,NA,79,89,92,83,17
plotoverview_table_big11nov,BIST-RX-07,681,324294,4065582,170,9,PRE-RX,2024-09-13T00:00:00Z,ALL,"RE-VISITED FOR OVERVIEW SHEET
NW PILE 1 - D: 4.2M, H: 1.4M
SE PILE 1 - D: 4.1M, H: 1.4M
SE PILE 2 - D: 3.7M, H: 1.5M",96,96,93,86,23
plotoverview_table_big11nov,BIST-RX-08,615,324658,4065485,224,10,PRE-RX,2024-09-14T00:00:00Z,TH,NA,96,96,90,96,27
plotoverview_table_big11nov,BIST-RX-09,653,324885,4065498,328,39,PRE-RX,2024-09-14T00:00:00Z,ALL,NA,90,95,96,96,28
plotoverview_table_big11nov,BIST-RX-10,5871,323882,4065369,341,17,PRE-RX,2024-09-15T00:00:00Z,ALL,"SE PILE 1 - D: 5.1M, H: 1.2M
SW PILE 1 - D: 4.7M, H: 1.4M
NW PILE 1 - D: 3.4M, H: 0.5M
NW PILE 2 - D: 3.7M, H: 1.4M",96,94,93,95,31
plotoverview_table_big11nov,BIST-RX-11,4388,324084,4065293,114,28,PRE-RX,2024-09-14T00:00:00Z,ALL,"NE PILE Diam: 4.0 m, Ht: 1.3 m. 
NE pile burned. 
SW pile diam: 4.3 m, Ht: 1.0 m.",67,96,93,96,30
plotoverview_table_big11nov,BIST-RX-12,585,324281,4065294,13,30,PRE-RX,2024-09-14T00:00:00Z,ALL,NA,88,96,86,70,29
plotoverview_table_big11nov,BIST-RX-13,629,324513,4065372,146,5,PRE-RX,2024-09-12T00:00:00Z,ALL+BB,"7 Burned piles on plot. Unburned pile in NE, Diam: 2.8, Ht: 1.2.",72,90,85,92,16
plotoverview_table_big11nov,EAFR-RX-04,830,351124,4035454,315,24,PRE-RX,2024-08-20T00:00:00Z,ALL,BUMPED FOR FMH PLOTâ€¦ THEN MORE FOR BEES!!,76,93,96,88,8
plotoverview_table_big11nov,EAFR-RX-08,0,0,0,0,47,PRE-RX,2024-07-25T00:00:00Z,ALL,NA,87,90,96,86,2
plotoverview_table_big11nov,EAFR-RX-16,669,350684,4035432,261,48,PRE-RX,2024-08-19T00:00:00Z,ALL,NA,95,90,86,89,6
plotoverview_table_big11nov,EAFR-RX-21,564,351412,4035721,341,44,PRE-RX,2024-08-20T00:00:00Z,ALL,NA,68,92,87,62,7
plotoverview_table_big11nov,EAFR-RX-22,655,350689,4035587,305,39,PRE-RX,2024-08-21T00:00:00Z,ALL,NA,55,84,43,91,10
plotoverview_table_big11nov,EAFR-RX-26,562,351186,4035648,328,55,PRE-RX,2024-08-20T00:00:00Z,ALL,NA,43,82,66,65,9
plotoverview_table_big11nov,GRGR-RX-01,642,323206,4069506,163,24,PRE-RX,2024-09-13T00:00:00Z,ALL,"RE-VISITED FOR OVERVIEW SHEET
SW PILE 1 - D: 3.4M, H: 1M
NW PILE 1 - D: 3.2M, H: 1.3M
NW PILE 2 - D: 2.9M, H: 1.2M
NW PILE 3 - D: 3.7M, H: 1.1M",52,78,23,76,19
plotoverview_table_big11nov,GRGR-RX-03,611,323117,4069264,359,35,PRE-RX,2024-09-09T00:00:00Z,ALL+BB,NA,82,46,91,89,11
plotoverview_table_big11nov,GRGR-RX-04,627,323202,4069033,323,28,PRE-RX,2024-09-09T00:00:00Z,ALL+BB,"Burn Pile on NE quadrant, Diameter: 2.3 m, Height: 1m. Burn pile in SW quadrat, Diameter: 2.4 m, Height: 1.5 m.",67,57,57,69,12
plotoverview_table_big11nov,GRGR-RX-05,137,323505,4068816,180,33,PRE-RX,2024-09-10T00:00:00Z,ALL+BB,BUMPED FOR POLES,40,48,28,36,13
plotoverview_table_big11nov,GRGR-RX-06,596,323037,4068430,322,35,PRE-RX,2024-09-11T00:00:00Z,ALL+BB,"Bumped to nearest area far enough from trails

PILE 1 IN THE NE HAS D 3.2M, H 1.8M

PILE 1 IN THE NE ON THE E TRANSECT D 2.3M, H 1.9M

PILE 1 IN THE SE D 4.0M, H 1.6M

PILE 1 IN THE SW D 4.6M, H 1.4M

PILE 1 IN THE NW D 4.4M, H 1.6M, ON W TRANSECT LINE",58,57,60,57,15
plotoverview_table_big11nov,GRGR-RX-07,1199,323442,4068575,192,21,PRE-RX,2024-09-13T00:00:00Z,ALL,"RE-VISITED FOR OVERVIEW SHEET
NE PILE 1 - D: 2.9M, H: 1.3M
NE PILE 2 - D: 3.9M, H: 1.2M
NE PILE 3 - D: 3.0M, H: 0.9M
SE PILE 1 -  D: 4.7M, H: 1.2M
SE PILE 2 -  D: 3.0M, H: 1.3M
SW PILE 1 - D: 4.4M, H: 1.7M 
SW PILE 2 - D: 3.5M, H: 1.6M",75,62,74,76,20
plotoverview_table_big11nov,GRGR-RX-08,616,323633,4068605,180,19,PRE-RX,2024-09-13T00:00:00Z,ALL,"RE-VISITED FOR PLOT OVERVIEW
NW PILE 1 - D: 4.5M, H: 1.8M
NW PILE 2 - D: 2.2M, H: 1.1M
NE PILE 1 - D: 3.8M, H: 1.2M
SW PILE 1 - D: 4.0M, H: 1.1M 
SW PILE 2 - D: 3.2M, H: 1.4M",68,80,58,60,21
plotoverview_table_big11nov,GRGR-RX-09,654,323890,4068492,284,27,PRE-RX,2024-09-13T00:00:00Z,ALL,"RE-VISITED FOR OVERVIEW SHEET
SE PILE 1 - D: 2.5M, H: 1.0M
SW PILE 1 - D: 2.5M, H: 0.8M",73,38,72,77,22
plotoverview_table_big11nov,GRGR-RX-10,619,323890,4068787,156,12,PRE-RX,2024-09-10T00:00:00Z,ALL+BB,"bumped for poles and to avoid trails;
NE Pile 1 D 3m H 1.2m; SW Pile 1 (on transect line) D 2.7m H 0.8; NW Pile (on transect) D 3.9m H 1m",64,84,64,69,14
plotoverview_table_big11nov,REME-THIN-11,147,353389,4044489,320,32,POSTFIRE01,2024-08-08T00:00:00Z,ALL,DUPLICATE W/ POSTFIRE ACCESS,82,85,89,59,32
plotoverview_table_big11nov,SECR-THIN-02,14993,0,0,360,41,POST-THIN01,2024-07-27T00:00:00Z,ALL,"FAKE PLOT IGNORE
pile in nw is 2.7 in diameter and 1.4m in height. And pile on south transect has a diameter of 3m and a height of 1.3",16,17,25,32,4
plotoverview_table_big11nov,SECR-THIN-02REAL,0,0,0,38,47,POST-THIN01,2024-07-27T00:00:00Z,ALL,"UNABLE TO LOCATE REBAR EVEN WITH PHOTOS. PILE NW HEIGHT: 1.1M, DIAMETER: 3.3M. PILE ON SOUTH TRANSECT, HEIGHT:1.0 , DIAMETER:2.9, PILE IN NE HEIGHT: 1.1, DIAMETER: 3.2, NO PHOTOS TAKEN",69,60,37,31,5
plotoverview_table_big11nov,SECR-THIN-05,14992,323219,4066668,9,42,POST-THIN01,2024-07-27T00:00:00Z,NA,PILE ON NORTH TRANSECT HAS A HEIGHT OF 1.2M AND DIAMETER ALONG TRANSECT IS 1.8M,69,38,18,50,3
plotoverview_table_big17nov,REME-THIN-02,135,353007,4044344,188,28,POSTFIRE01,2024-08-06T00:00:00Z,AB-BB-AE-KF-TH,NOT THINNED,82,77,87,83,34
plotoverview_table_big17nov,REME-THIN-03,932,353058,4044242,280,35,POSTFIRE01,2024-08-06T00:00:00Z,BB,SEEMS UNTHINNED,71,91,63,80,35
plotoverview_table_big17nov,REME-THIN-06,137,353504,4044056,24,15,POSTFIRE01,2024-08-07T00:00:00Z,KF,NA,87,76,74,90,36
plotoverview_table_big17nov,REME-THIN-07,150,353302,4044267,260,15,POSTFIRE01,2024-08-08T00:00:00Z,ALL,"BURN UNEVEN, UNBURNED PILES ON PLOT",58,82,70,96,38
plotoverview_table_big17nov,REME-THIN-12,145,353355,4043899,333,44,POST-RX01,2024-08-09T00:00:00Z,"AE, KF, TH",NA,50,65,52,57,32
plotoverview_table_big17nov,REME-THIN-14,151,353135,4044416,224,26,POST-RX01,2024-08-06T00:00:00Z,AB,NA,90,82,54,56,33
plotoverview_table_big17nov,REME-THIN-29,143,353176,4044197,318,35,POSTFIRE01,2024-08-08T00:00:00Z,ALL,NA,52,78,64,24,37
plotoverview_table_big17nov,REMO-PLANT-01,5531,327695,4061211,316,59,POST-FIRE-03,2024-09-28T00:00:00Z,ALL,NA,79,36,1,1,21
plotoverview_table_big17nov,REMO-PLANT-02,657,330487,4061316,254,40,POST-FIRE-03,2024-09-26T00:00:00Z,ALL,NA,75,90,95,90,11
plotoverview_table_big17nov,REMO-PLANT-04,818,329351,4061512,66,5,POST-FIRE-03,2024-09-27T00:00:00Z,ALL,NA,47,38,39,76,16
plotoverview_table_big17nov,REMO-PLANT-05,563,327999,4061086,231,19,POST-FIRE-03,2024-09-28T00:00:00Z,ALL,NA,78,92,90,87,19
plotoverview_table_big17nov,REMO-PLANT-06,5521,329757,4061262,186,25,POST-FIRE-03,2024-09-25T00:00:00Z,ALL,NA,80,76,81,80,10
plotoverview_table_big17nov,REMO-PLANT-07,658,329151,4062195,148,14,POST-FIRE-03,2024-09-24T00:00:00Z,ALL,FORGOT DENSIOMETER :(,0,0,0,0,6
plotoverview_table_big17nov,REMO-PLANT-10,5152,329183,4061054,135,48,POST-FIRE-03,2024-09-25T00:00:00Z,ALL,NA,96,91,88,89,8
plotoverview_table_big17nov,REMO-PLANT-11,652,329355,4061940,98,3,POST-FIRE-03,2024-09-27T00:00:00Z,ALL,NA,86,32,13,84,18
plotoverview_table_big17nov,REMO-PLANT-13,693,329989,4061367,336,33,POST-FIRE-03,2024-09-26T00:00:00Z,ALL,NA,78,84,81,79,13
plotoverview_table_big17nov,REMO-PLANT-14,594,329909,4060909,226,23,POST-FIRE-03,2024-09-29T00:00:00Z,ALL,NA,43,26,33,26,25
plotoverview_table_big17nov,REMO-PLANT-16,3723,330243,4061392,285,19,POST-FIRE-03,2024-10-25T00:00:00Z,TH,NA,63,79,77,65,29
plotoverview_table_big17nov,REMO-PLANT-17,5526,330001,4060981,320,18,POST-FIRE-03,2024-09-23T00:00:00Z,ALL,NA,92,90,89,85,2
plotoverview_table_big17nov,REMO-PLANT-18,835,329223,4061579,72,48,POST-FIRE-03,2024-09-27T00:00:00Z,ALL,NA,17,21,21,33,15
plotoverview_table_big17nov,REMO-PLANT-19,622,329848,4061369,322,20,POST-FIRE-03,2024-09-26T00:00:00Z,ALL,NA,72,85,89,90,14
plotoverview_table_big17nov,REMO-PLANT-22,5485,329408,4061167,235,9,POST-FIRE-03,2024-09-25T00:00:00Z,ALL,NA,92,91,73,89,7
plotoverview_table_big17nov,REMO-PLANT-25,3727,330406,4061241,304,30,POST-FIRE-03,2024-10-23T00:00:00Z,ALL,NA,43,45,23,28,27
plotoverview_table_big17nov,REMO-PLANT-26,579,329786,4060668,241,13,POST-FIRE-03,2024-09-29T00:00:00Z,ALL,NA,30,53,24,43,24
plotoverview_table_big17nov,REMO-PLANT-27,689,329668,4061685,249,13,POST-FIRE-03,2024-09-27T00:00:00Z,ALL,NA,85,92,92,89,17
plotoverview_table_big17nov,REMO-PLANT-29,632,327845,4061274,220,28,POST-FIRE-03,2024-09-28T00:00:00Z,ALL,NA,90,86,88,89,22
plotoverview_table_big17nov,REMO-PLANT-33,5519,329062,4062210,84,28,POST-FIRE-03,2024-09-24T00:00:00Z,ALL,NA,80,83,88,24,5
plotoverview_table_big17nov,REMO-PLANT-34,641,329334,4061001,221,14,POST-FIRE-03,2024-09-29T00:00:00Z,ALL,NA,91,86,93,90,23
plotoverview_table_big17nov,REMO-PLANT-37,5142,329297,4060790,259,14,POST-FIRE-03,2024-09-25T00:00:00Z,ALL,"LAST THREE METERS OF W TAPE GO OFF A CLIFF, SO POI FOR 28 AND 29 ARE GUESSES.",79,44,34,14,9
plotoverview_table_big17nov,REMO-PLANT-38,3718,330123,4061421,309,19,POST-FIRE-03,2024-10-25T00:00:00Z,AE,NA,35,44,20,21,30
plotoverview_table_big17nov,REMO-PLANT-39,3708,330419,4060957,260,19,POST-FIRE-03,2024-10-24T00:00:00Z,TH,NA,50,48,42,79,28
plotoverview_table_big17nov,REMO-PLANT-41,648,327728,4061086,254,30,POST-FIRE-03,2024-09-28T00:00:00Z,NA,NA,91,44,86,92,20
plotoverview_table_big17nov,REMO-PLANT-42,5538,329435,4062052,230,5,POST-FIRE-03,2024-09-24T00:00:00Z,ALL,NA,82,80,68,74,4
plotoverview_table_big17nov,REMO-PLANT-43,3714,327482,4061545,249,37,POST-FIRE-03,2024-10-26T00:00:00Z,TH,NA,0,0,0,0,31
plotoverview_table_big17nov,REMO-PLANT-45,3724,330304,4061322,289,24,POST-FIRE-03,2024-10-23T00:00:00Z,TH,NA,69,45,72,71,26
plotoverview_table_big17nov,REMO-PLANT-46,5552,329467,4061773,255,9,POST-FIRE-03,2024-09-24T00:00:00Z,ALL,NA,22,25,80,36,3
plotoverview_table_big17nov,REMO-PLANT-48,5513,330366,4060608,320,45,POST-FIRE-03,2024-09-23T00:00:00Z,ALL,NA,34,55,55,31,1
plotoverview_table_big17nov,REMO-PLANT-50,823,330366,4061421,299,20,POST-FIRE-03,2024-09-26T00:00:00Z,ALL,NA,81,27,29,81,12
plotoverview_table_big17nov,USGS-114,0,353920,4044083,278,10,POSTFIRE01,2024-08-07T00:00:00Z,ALL,USGS PLOT - MEASUREMENTS TAKEN AT DIFFERENT INTERVALS,85,83,88,89,40
plotoverview_table_big17nov,USGS-122,0,353330,4044302,216,22,POSTFIRE01,2024-08-08T00:00:00Z,ALL,"USGS PLOT - MEASUREMENTS TAKEN AT DIFFERENT INTERVALS; PICTURES SHOW NORTH LINE OFF BY ~ 2M, PLOT READ FROM REBAR",81,87,82,85,39
plotoverview_table_lil11nov,EAFR-RX-02,1351,350413,4034267,296,31,PRE-RX,2024-07-24T00:00:00Z,ALL,MOST POLES WERE IN THE NE AND SE QUADRANTS,74,31,34,36,5
plotoverview_table_lil11nov,EAFR-RX-03,0,351648,4035953,NA,NA,PRE-RX,2024-07-23T00:00:00Z,NA,NA,0,0,0,0,3
plotoverview_table_lil11nov,EAFR-RX-05,604,351297,4035112,220,46,PRE-RX,2024-08-24T00:00:00Z,"KF, AE",BUMPED 10M FOR RAVINE SAFETY.,68,86,94,83,19
plotoverview_table_lil11nov,EAFR-RX-06,612,350608,4034573,66,45,PRE-RX,2024-07-24T00:00:00Z,ALL,NA,9,20,8,6,7
plotoverview_table_lil11nov,EAFR-RX-09,675,351332,4034680,326,40,PRE-RX,2024-08-24T00:00:00Z,"KF, AE",BUMPED 20M FOR RAVINE SAFETY,63,88,92,86,18
plotoverview_table_lil11nov,EAFR-RX-11,617,351517,4036034,320,36,PRE-RX,2024-07-23T00:00:00Z,ALL,NA,58,10,24,40,4
plotoverview_table_lil11nov,EAFR-RX-12,894,350823,4035506,270,35,PRE-RX,2024-07-25T00:00:00Z,ALL,NA,63,76,70,41,8
plotoverview_table_lil11nov,EAFR-RX-14,0,351959,4036005,NA,NA,PRE-RX,2024-07-23T00:00:00Z,NA,"no regen, blank regen form uploaded 8/26; trail or indirect line in plot after establishment",0,0,0,0,2
plotoverview_table_lil11nov,EAFR-RX-15,685,351313,4035255,261,54,PRE-RX,2024-08-23T00:00:00Z,AE-KF,NA,64,83,69,24,17
plotoverview_table_lil11nov,EAFR-RX-17,630,350822,4034496,16,45,PRE-RX,2024-07-24T00:00:00Z,NA,NA,18,40,21,11,6
plotoverview_table_lil11nov,EAFR-RX-18,576,351816,4035618,0,16,PRE-RX,2024-08-22T00:00:00Z,"KF, AE",NA,84,90,94,92,16
plotoverview_table_lil11nov,EAFR-RX-20,666,351200,4035788,320,20,PRE-RX,2024-07-23T00:00:00Z,ALL,BUMPED 20 METERS TOO CLOSE TO TRAIL,56,36,19,71,1
plotoverview_table_lil11nov,EAFR-RX-23,0,350392,4034972,291,35,PRE-RX,2024-08-21T00:00:00Z,ALL,Tag number not recorded,53,84,26,92,15
plotoverview_table_lil11nov,EAFR-RX-29,589,350649,4035822,0,56,PRE-RX,2024-08-25T00:00:00Z,AE-KF,CENTER IS 26 METERS AWAY FROM CENTER OF USGS PLOT.,30,66,84,77,20
plotoverview_table_lil11nov,GRGR-RX-11,952,324150,4068910,244,14,PRE-RX,2024-09-16T00:00:00Z,ALL,"RE-VISITED FOR PLOT OVERVIEW
SE PILE 1 - D: 4.1M, H: 1.5M
SE PILE 2 - D: 3.1M, H: 1.3M
NW PILE 1 - D: 1.3M, H: 1.0M
NW PILE 2 - D: 2.0M, H: 0.8M",62,41,55,45,22
plotoverview_table_lil11nov,REME-THIN-14,151,353135,4044416,224,26,POSTFIRE01,2024-08-06T00:00:00Z,AB,DUPLICATE WITH POSTFIRE ACCESS,98,82,54,56,21
plotoverview_table_lil11nov,SECR_THIN_01,14993,323132,4066999,360,41,POST-THIN01,2024-07-27T00:00:00Z,ALL,"PILE IN NW DIAMETER 2.7M, HEIGHT 1.4M

PILE ON S TRANSECT DIAMETER 3M, HEIGHT 1.3M",16,17,25,32,14
plotoverview_table_lil11nov,SECR-PILE-02,14979,323698,4066919,250,27,POST-PILEBURN01,2024-07-26T00:00:00Z,NA,PILES IN PLOT DID NOT BURN TO COMPLETION SEE PHOTOS FOR REFRENCE,32,82,73,77,10
plotoverview_table_lil11nov,SECR-PILE-03,14999,323545,4066834,328,10,POST-PILEBURN01,2024-07-26T00:00:00Z,ALL,NA,85,58,96,51,9
plotoverview_table_lil11nov,SECR-THIN-03,14988,0,0,332,42,POST-THIN01,2024-07-27T00:00:00Z,ALL,"NE PILE HEIGHT 1.0M, DIAMETER 3.5M, INTERSECTING TRANSECT LINE

NE PILE HEIGHT 1.0M, DIAMETER 3.5M

NW PILE HEIGHT 1.2M, DIAMETER 3.3M

SW PILE HEIGHT 1.2M, DIAMETER 3.2M",32,61,32,63,11
plotoverview_table_lil11nov,SECR-THIN-04,14991,323227,4066814,26,43,POST-THIN01,2024-07-27T00:00:00Z,AB_TH_KF_AE,"PILE INTERSECTING S TRANSECT, DIAMETER MEASURED ALONG TRANSECT 2.5M, HEIGHT OF 1.7M

ANOTHER PILE INTESECTING E TRANSECT HAS DIAMETER AT TRANSECT OF 1.4 AND HEIGHT OF 2.1",67,54,33,48,12
plotoverview_table_lil11nov,SECR-THIN-05,14992,323219,4066668,9,NA,POST-THIN01,2024-07-27T00:00:00Z,TH_AE,NA,72,32,11,41,13
plotoverview_table_lil17nov,REME-THIN-14,151,353135,4044416,224,26,POSTFIRE01,2024-08-06T00:00:00Z,AB,NA,98,82,54,56,1
plotoverview_table_lil17nov,REMO-PLANT-45,NA,0,0,NA,NA,NA,2024-10-23T00:00:00Z,NA,NA,0,0,0,0,2
plotoverview_table_lil17nov,REME-THIN-26,146,353299,4043812,148,32,POSTFIRE01,2024-08-05T00:00:00Z,AB_AE_BB_KF_TH,NA,87,68,83,83,3
plotoverview_table_lil17nov,REME-THIN-11,147,353389,4044489,32,32,POSTFIRE01,2024-08-08T00:00:00Z,AB-AE-BB-KF-TH,NA,82,85,89,59,4
plotoverview_table_lil17nov,REME-THIN-23,134,352918,4044354,162,24,POST-RX01,2024-08-06T00:00:00Z,"AB, AE, BB, KF, TH",DOESN'T LOOK THINNED,92,87,74,79,5
plotoverview_table_lil17nov,REME-THIN-10,141,353116,4044309,234,26,POST-RX01,2024-08-06T00:00:00Z,"AB, AE, BB, KF, TH",CUT STUMPS,94,84,92,84,6
plotoverview_table_lil17nov,REME-THIN-25,570,353328,4044148,56,14,POST-RX01,2024-08-09T00:00:00Z,"TH, KF, AE",NA,90,93,76,94,7
plotoverview_table_lil17nov,REME-THIN-18,148,353349,4044415,180,16,POST-RX01,NA,"KF, AE, TH, BB, AB",NA,87,82,80,84,8
plotoverview_table_lil17nov,REME-THIN-27,5529,353264,4044385,231,24,POST-RX01,2024-08-08T00:00:00Z,"KF, AE, AB, TH, BB",NA,96,94,88,94,9
plotoverview_table_lil17nov,REME-THIN-15,144,353227,4043946,290,17,POST-RX01,2024-08-09T00:00:00Z,"KF, TH, AE",NA,79,81,90,70,10
plotoverview_table_lil17nov,USGS-409001,0,353910,4044000,299,15,POST-RX01,2024-08-07T00:00:00Z,"KF, AB, AE, TH, BB",USGS PLOT. NO TAG NUMBER. PILE ON E TRANSECT WITH DIAM 3.9M AND HT 1.4M.,80,78,78,84,11
plotoverview_table_lil17nov,USGS-409005,0,353846,4044038,312,14,POST-RX01,2024-08-07T00:00:00Z,"AB, KF, AE, BB, TH",USGS PLOT. NO TAG NUMBER.,62,90,84,83,12
plotoverview_table_lil17nov,USGS-409003,0,353784,4043777,340,20,POST-RX01,2024-08-07T00:00:00Z,"KF, AE, AB, TH, BB",USGS PLOT. NO TAG NUMBER.,60,83,68,89,13
